"level1_id";"level1_nazev";"level2_id";"level2_nazev";"level3_id";"level3_nazev";"level4_id";"level4_nazev";"level5_id";"level5_nazev";"level6_id";"level6_nazev";"mista_sluz";"mista_prac"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007827";"Odbor vymáhací";"12007828";"Oddělení vymáhací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007827";"Odbor vymáhací";"12007829";"Oddělení vymáhací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007824";"Odbor majetkových daní";"12007825";"Oddělení majetkových daní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007824";"Odbor majetkových daní";"12007826";"Oddělení majetkových daní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007820";"Odbor kontrolní II";"12007821";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007820";"Odbor kontrolní II";"12007822";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007820";"Odbor kontrolní II";"12007823";"Oddělení kontrolní III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007820";"Odbor kontrolní II";"12011802";"Oddělení kontrolní IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007815";"Odbor kontrolní I";"12007816";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007815";"Odbor kontrolní I";"12007817";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007815";"Odbor kontrolní I";"12007818";"Oddělení kontrolní III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007815";"Odbor kontrolní I";"12007819";"Oddělení kontrolní IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007811";"Odbor vyměřovací III";"12007812";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007811";"Odbor vyměřovací III";"12007813";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007811";"Odbor vyměřovací III";"12007814";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007805";"Odbor vyměřovací II";"12007807";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007795";"Ředitel sekce ÚP";"12007805";"Odbor vyměřovací II";"12007806";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
