"from";"to"
"stat";"11000002"
"12011652";"12012026"
"12011652";"12012025"
"12011652";"12012024"
"stat";"11000007"
"11000007";"12005930"
"11000007";"12012307"
"11000007";"12012249"
"11000007";"12006024"
"11000007";"12005923"
"11000007";"12005921"
"11000007";"12005220"
"11000007";"12012248"
"11000007";"12012247"
"11000007";"12012246"
"11000007";"12011344"
"11000007";"12006037"
"11000007";"12005216"
"11000007";"12011308"
"12005216";"12011074"
"12005216";"12005217"
"12005216";"12011343"
"12005923";"12005925"
"12005923";"12005924"
"12005930";"12005933"
"12005930";"12011076"
"12005930";"12012097"
"12006024";"12012017"
"12006024";"12012018"
"12006024";"12006030"
"12006037";"12006038"
"12006037";"12006083"
"12006037";"12006042"
"12011308";"12005927"
"12011308";"12005941"
"12011308";"12005963"
"12011308";"12005944"
"12011308";"12005956"
"12011308";"12005952"
"12011308";"12005948"
"12011308";"12012161"
"12011344";"12011346"
"12011344";"12011345"
"12012246";"12012400"
"12012246";"12012407"
"12012246";"12012303"
"12012246";"12012302"
"12012246";"12005992"
"12012246";"12012404"
"12012247";"12011310"
"12012247";"12012304"
"12012247";"12012490"
"12012248";"12006048"
"12012248";"12006065"
"12012248";"12006034"
"12012248";"12006047"
"12012249";"12012250"
"12012249";"12012301"
"12012307";"12005974"
"12012307";"12006012"
"12012307";"12006015"
"12012307";"12006018"
"12012307";"12011348"
"12005933";"12005934"
"12005933";"12005935"
"12011076";"12005931"
"12011076";"12011077"
"12006030";"12006032"
"12006030";"12006033"
"12006030";"12006031"
"12012017";"12011307"
"12012017";"12012402"
"12012017";"12011305"
"12012018";"12006029"
"12012018";"12011304"
"12012018";"12011306"
"12012018";"12012016"
"12006038";"12006041"
"12006038";"12006039"
"12006038";"12006040"
"12006042";"12006043"
"12006042";"12006045"
"12006042";"12006044"
"12005927";"12005929"
"12005927";"12005928"
"12005944";"12005946"
"12005944";"12005945"
"12005944";"12005947"
"12005944";"12011302"
"12005948";"12005950"
"12005948";"12005951"
"12005948";"12005970"
"12005948";"12012398"
"12005948";"12012252"
"12005952";"12005973"
"12005952";"12012410"
"12005952";"12012411"
"12005952";"12005972"
"12005952";"12005955"
"12005956";"12005957"
"12005956";"12005958"
"12005956";"12012014"
"12005963";"12005968"
"12005963";"12005964"
"12005963";"12005965"
"12005963";"12005966"
"12005963";"12005967"
"12012161";"12012251"
"12012161";"12005943"
"12012161";"12012162"
"12012302";"12012399"
"12012302";"12011859"
"12012303";"12011861"
"12012303";"12012403"
"12012400";"12012401"
"12012400";"12011860"
"12012404";"12012406"
"12012404";"12012405"
"12012407";"12012408"
"12012407";"12012409"
"12011310";"12011342"
"12011310";"12011862"
"12011310";"12011863"
"12012304";"12006000"
"12012304";"12006001"
"12012304";"12012489"
"12012490";"12012523"
"12012490";"12012522"
"12012490";"12012521"
"12012490";"12012015"
"12006034";"12006035"
"12006034";"12006036"
"12006048";"12006049"
"12006048";"12006050"
"12006048";"12006051"
"12006065";"12012397"
"12006065";"12006072"
